TranscriptID	Entrez
ENSGALT00000015797	770724
ENSGALT00000000158	769005
ENSGALT00000006013	771980
ENSGALT00000006004	417178
ENSGALT00000005992	417177
ENSGALT00000011644	395719
ENSGALT00000044230	100859110
ENSGALT00000038370	100859142
ENSGALT00000046022	.
ENSGALT00000046230	395448
ENSGALT00000044313	100857454
ENSGALT00000005394	395244
ENSGALT00000005365	395244
ENSGALT00000024525	427266
ENSGALT00000024514	396448
ENSGALT00000005519	428812
ENSGALT00000031441	768991
ENSGALT00000031441	768991
ENSGALT00000031441	100857706
ENSGALT00000031441	100857706
ENSGALT00000046206	.
ENSGALT00000011651	768991
ENSGALT00000011691	428675
ENSGALT00000024511	100859124
ENSGALT00000045762	100858862
ENSGALT00000043507	100859150
ENSGALT00000005964	417175
ENSGALT00000044316	428813
ENSGALT00000032767	769492
ENSGALT00000005921	771901
ENSGALT00000038359	.
ENSGALT00000005558	395472
ENSGALT00000005891	417173
ENSGALT00000041053	427264
ENSGALT00000005692	.
ENSGALT00000005734	769677
ENSGALT00000005753	422964
ENSGALT00000005755	.
ENSGALT00000042769	426398
ENSGALT00000022774	426396
ENSGALT00000032890	429050
ENSGALT00000042684	429847
ENSGALT00000035428	420107
ENSGALT00000045817	420109
ENSGALT00000035065	420109
ENSGALT00000018294	425670
ENSGALT00000021732	426017
ENSGALT00000011703	374091
ENSGALT00000013753	769231
ENSGALT00000011710	769169
ENSGALT00000004696	428348
ENSGALT00000005834	417172
ENSGALT00000004744	428349
ENSGALT00000043622	425719
ENSGALT00000008416	423025
ENSGALT00000021718	.
ENSGALT00000005827	417171
ENSGALT00000038349	.
ENSGALT00000011734	.
ENSGALT00000045053	100858365
ENSGALT00000043150	426623
ENSGALT00000005801	.
ENSGALT00000029533	.
ENSGALT00000043074	.
ENSGALT00000041328	426015
ENSGALT00000021713	426014
ENSGALT00000023513	426622
ENSGALT00000035951	777441
ENSGALT00000043697	426323
ENSGALT00000046072	417169
ENSGALT00000005607	417168
ENSGALT00000005588	427759
ENSGALT00000045690	101748485
ENSGALT00000008399	426629
ENSGALT00000008352	374050
ENSGALT00000043209	100858428
ENSGALT00000041040	.
ENSGALT00000031439	422093
ENSGALT00000043772	100857264
ENSGALT00000011813	769355
ENSGALT00000011818	769203
ENSGALT00000045320	417167
ENSGALT00000031437	.
ENSGALT00000011825	422094
ENSGALT00000011890	422095
ENSGALT00000021862	430522
ENSGALT00000038325	.
ENSGALT00000011918	422097
ENSGALT00000038324	.
ENSGALT00000045234	769329
ENSGALT00000004127	427091
ENSGALT00000038316	428677
ENSGALT00000011948	428678
ENSGALT00000012164	422099
ENSGALT00000005551	772069
ENSGALT00000045684	.
ENSGALT00000012332	.
ENSGALT00000011101	422100
ENSGALT00000005537	417166
ENSGALT00000038280	.
ENSGALT00000004779	420112
ENSGALT00000012410	.
ENSGALT00000004817	.
ENSGALT00000009269	100857578
ENSGALT00000035255	395691
ENSGALT00000045823	.
ENSGALT00000004831	.
ENSGALT00000004856	420115
ENSGALT00000008347	.
ENSGALT00000032734	395757
ENSGALT00000038263	422102
ENSGALT00000031388	769665
ENSGALT00000005506	395977
ENSGALT00000022565	430767
ENSGALT00000012441	422103
ENSGALT00000005497	417165
ENSGALT00000022568	395418
ENSGALT00000012444	422104
ENSGALT00000039374	417164
ENSGALT00000032735	769879
ENSGALT00000005397	.
ENSGALT00000031381	422106
ENSGALT00000012479	414780
ENSGALT00000008339	425097
ENSGALT00000004949	420116
ENSGALT00000032736	.
ENSGALT00000012503	422107
ENSGALT00000043926	422107
ENSGALT00000038245	422107
ENSGALT00000044565	770547
ENSGALT00000031378	769812
ENSGALT00000004991	420117
ENSGALT00000012509	.
ENSGALT00000045244	100859318
ENSGALT00000005000	420118
ENSGALT00000008326	428840
ENSGALT00000012381	422108
ENSGALT00000012523	422109
ENSGALT00000005001	396132
ENSGALT00000008309	428839
ENSGALT00000005099	420119
ENSGALT00000005285	417163
ENSGALT00000012560	422110
